UniprotAccession,proteinAtLocation,total,unique
P08123,Dehydrolysinonorlysyl 4-Hyp Glu-Gal-Hyl collagen alpha-2(I) chain [extracellular region],3,3
P08123,Dehydrolysinonorlysyl 4-Hyp 5-Hyl collagen alpha-2(I) chain [extracellular region],3,3
P08123,Dehydrolysinonorlysyl 4-Hyp 5-Gal-Hyl collagen alpha-2(I) chain [extracellular region],3,3
P08123,"Dehydrolysinonorlysyl 3,4-hydroxyprolyl collagen alpha-2(I) chain [extracellular region]",3,3
P08123,"Dehydrolysinonorlysyl 3,4-Hyp Glu-Gal-Hyl collagen alpha-2(I) chain [extracellular region]",4,4
P08123,"Dehydrolysinonorlysyl 3,4-Hyp 5-Hyl collagen alpha-2(I) chain [extracellular region]",4,4
P08123,"Dehydrolysinonorlysyl 3,4-Hyp 5-Gal-Hyl collagen alpha-2(I) chain [extracellular region]",4,4
P08123,Dehydrohydroxylysinonorlysyl Glu-Gal-Hyl-collagen alpha-2(I) chain [extracellular region],2,2
P08123,Dehydrohydroxylysinonorlysyl Collagen alpha-2(I) chain [extracellular region],1,1
P08123,Dehydrohydroxylysinonorlysyl 5-hydroxylysyl collagen alpha-2(I) chain [extracellular region],2,2
P08123,Dehydrohydroxylysinonorlysyl 5-Gal-Hyl collagen alpha-2(I) chain [extracellular region],2,2
P08123,Dehydrohydroxylysinonorlysyl 4-hydroxyprolyl collagen alpha-2(I) chain [extracellular region],2,2
P08123,Dehydrohydroxylysinonorlysyl 4-Hyp Glu-Gal-Hyl collagen alpha-2(I) chain [extracellular region],3,3
P08123,Dehydrohydroxylysinonorlysyl 4-Hyp 5-Hyl collagen alpha-2(I) chain [extracellular region],3,3
P08123,Dehydrohydroxylysinonorlysyl 4-Hyp 5-Gal-Hyl collagen alpha-2(I) chain [extracellular region],3,3
P08123,"Dehydrohydroxylysinonorlysyl 3,4-hydroxyprolyl collagen alpha-2(I) chain [extracellular region]",3,3
P08123,"Dehydrohydroxylysinonorlysyl 3,4-Hyp Glu-Gal-Hyl collagen alpha-2(I) chain [extracellular region]",4,4
P08123,"Dehydrohydroxylysinonorlysyl 3,4-Hyp 5-Hyl collagen alpha-2(I) chain [extracellular region]",4,4
P08123,"Dehydrohydroxylysinonorlysyl 3,4-Hyp 5-Gal-Hyl collagen alpha-2(I) chain [extracellular region]",4,4
P08123,Alys-GlcGalHyl-COL1A2 [extracellular region],2,2
P08123,Alys-GalHyl-COL1A2 [extracellular region],2,2
P08123,Alys-COL1A2 [extracellular region],1,1
P08123,5Hyl-COL1A2(954-1102) [extracellular region],1,1
P08123,5Hyl-COL1A2(80-953) [extracellular region],1,1
P08123,5Hyl-COL1A2(80-1366) [extracellular region],1,1
P08123,5Hyl-COL1A2(25-1366) [extracellular region],1,1
P08123,5Hyl-COL1A2(25-1366) [endoplasmic reticulum lumen],1,1
P08123,5Hyl-COL1A2 [extracellular region],1,1
P08123,5Hyl-Alys-COL1A2 [extracellular region],2,2
P08123,3x4Hyp-GlcGalHyl-COL1A2(954-1102) [extracellular region],2,2
P08123,3x4Hyp-GlcGalHyl-COL1A2(80-953) [extracellular region],2,2
P08123,3x4Hyp-GlcGalHyl-COL1A2(80-1366) [extracellular region],2,2
P08123,3x4Hyp-GlcGalHyl-COL1A2(25-1366) [extracellular region],2,2
P08123,3x4Hyp-GlcGalHyl-COL1A2(25-1366) [endoplasmic reticulum lumen],2,2
P08123,3x4Hyp-GlcGalHyl-COL1A2 [extracellular region],2,2
P08123,3x4Hyp-GalHyl-COL1A2(954-1102) [extracellular region],2,2
P08123,3x4Hyp-GalHyl-COL1A2(80-953) [extracellular region],2,2
P08123,3x4Hyp-GalHyl-COL1A2(80-1366) [extracellular region],2,2
P08123,3x4Hyp-GalHyl-COL1A2(25-1366) [extracellular region],2,2
P08123,3x4Hyp-GalHyl-COL1A2(25-1366) [endoplasmic reticulum lumen],2,2
P08123,3x4Hyp-GalHyl-COL1A2 [extracellular region],2,2
P08123,3x4Hyp-COL1A2(954-1102) [extracellular region],1,1
P08123,3x4Hyp-COL1A2(80-953) [extracellular region],1,1
P08123,3x4Hyp-COL1A2(80-1366) [extracellular region],1,1
P08123,3x4Hyp-COL1A2(25-1366) [extracellular region],1,1
P08123,3x4Hyp-COL1A2(25-1366) [endoplasmic reticulum lumen],1,1
P08123,3x4Hyp-COL1A2 [extracellular region],1,1
P08123,3x4Hyp-Alys-GlcGalHyl-COL1A2 [extracellular region],3,3
P08123,3x4Hyp-Alys-GalHyl-COL1A2 [extracellular region],3,3
P08123,3x4Hyp-Alys-COL1A2 [extracellular region],2,2
P08123,3x4Hyp-5Hyl-COL1A2(80-?) [extracellular region],2,2
P08123,3x4Hyp-5Hyl-COL1A2(80-1366) [extracellular region],2,2
P08123,3x4Hyp-5Hyl-COL1A2(25-1366) [extracellular region],2,2
P08123,3x4Hyp-5Hyl-COL1A2(25-1366) [endoplasmic reticulum lumen],2,2
P08123,3x4Hyp-5Hyl-COL1A2(1-954) [extracellular region],2,2
P08123,3x4Hyp-5Hyl-COL1A2 [extracellular region],2,2
P08123,3x4Hyp-5Hyl-Alys-COL1A2 [extracellular region],3,3
P08123,3x4Hyp-3Hyp-GlcGalHyl-COL1A2(954-1102) [extracellular region],3,3
P08123,3x4Hyp-3Hyp-GlcGalHyl-COL1A2(80-953) [extracellular region],3,3
P08123,3x4Hyp-3Hyp-GlcGalHyl-COL1A2(80-1366) [extracellular region],3,3
P08123,3x4Hyp-3Hyp-GlcGalHyl-COL1A2(25-1366) [extracellular region],3,3
P08123,3x4Hyp-3Hyp-GlcGalHyl-COL1A2(25-1366) [endoplasmic reticulum lumen],3,3
P08123,3x4Hyp-3Hyp-GlcGalHyl-COL1A2 [extracellular region],3,3
P08123,3x4Hyp-3Hyp-GalHyl-COL1A2(954-1102) [extracellular region],3,3
P08123,3x4Hyp-3Hyp-GalHyl-COL1A2(80-953) [extracellular region],3,3
P08123,3x4Hyp-3Hyp-GalHyl-COL1A2(80-1366) [extracellular region],3,3
P08123,3x4Hyp-3Hyp-GalHyl-COL1A2(25-1366) [extracellular region],3,3
P08123,3x4Hyp-3Hyp-GalHyl-COL1A2(25-1366) [endoplasmic reticulum lumen],3,3
P08123,3x4Hyp-3Hyp-GalHyl-COL1A2 [extracellular region],3,3
P08123,3x4Hyp-3Hyp-COL1A2(954-1102) [extracellular region],2,2
P08123,3x4Hyp-3Hyp-COL1A2(80-953) [extracellular region],2,2
P08123,3x4Hyp-3Hyp-COL1A2(80-1366) [extracellular region],2,2
P08123,3x4Hyp-3Hyp-COL1A2(25-1366) [extracellular region],2,2
P08123,3x4Hyp-3Hyp-COL1A2(25-1366) [endoplasmic reticulum lumen],2,2
P08123,3x4Hyp-3Hyp-COL1A2 [extracellular region],2,2
P08123,3x4Hyp-3Hyp-Alys-GlcGalHyl-COL1A2 [extracellular region],4,4
P08123,3x4Hyp-3Hyp-Alys-GalHyl-COL1A2 [extracellular region],4,4
P08123,3x4Hyp-3Hyp-Alys-COL1A2 [extracellular region],3,3
P08123,3x4Hyp-3Hyp-5Hyl-COL1A2(954-1102) [extracellular region],3,3
P08123,3x4Hyp-3Hyp-5Hyl-COL1A2(80-953) [extracellular region],3,3
P08123,3x4Hyp-3Hyp-5Hyl-COL1A2(80-1366) [extracellular region],3,3
P08123,3x4Hyp-3Hyp-5Hyl-COL1A2(25-1366) [extracellular region],3,3
P08123,3x4Hyp-3Hyp-5Hyl-COL1A2(25-1366) [endoplasmic reticulum lumen],3,3
P08123,3x4Hyp-3Hyp-5Hyl-COL1A2 [extracellular region],3,3
P08123,3x4Hyp-3Hyp-5Hyl-Alys-COL1A2 [extracellular region],4,4
P08151,ub-pS-GLI1 [ciliary base],2,2
P08151,ub-GLI1 [cytosol],1,1
P08151,pS-GLI1 [ciliary base],1,1
P08151,p-GLI1 [nucleoplasm],1,1
P08151,p-GLI1 [ciliary tip],1,1
P08151,2p-GLI1 [nucleoplasm],1,1
P08174,GPI-CD55 [transport vesicle],1,1
P08174,GPI-CD55 [endoplasmic reticulum-Golgi intermediate compartment membrane],1,1
P08174,GPI-CD55 [Golgi membrane],1,1
P08236,GUSB S52F [lysosomal lumen],2,2
P08236,GUSB R611W [lysosomal lumen],2,2
P08236,GUSB R356* [lysosomal lumen],1,1
P08236,GUSB R216W [lysosomal lumen],2,2
P08236,GUSB A354V [lysosomal lumen],2,2
P08571,GPIN-CD14(20-345) [secretory granule membrane],1,1
P08571,GPIN-CD14(20-345) [plasma membrane],1,1
P08571,GPIN-CD14(20-345) [endosome membrane],1,1
P08572,GlcGalHyl-COL4A2(?-1712) [extracellular region],1,1
P08572,GlcGalHyl-COL4A2(26-?) [extracellular region],1,1
P08572,GlcGalHyl-COL4A2(26-1712) [endoplasmic reticulum lumen],1,1
P08572,GlcGalHyl-COL4A2(184-1712) [extracellular region],1,1
P08572,GlcGalHyl-COL4A2(1486-1712) [extracellular region],1,1
P08572,GalHyl-COL4A2(?-1712) [extracellular region],1,1
P08572,GalHyl-COL4A2(26-?) [extracellular region],1,1
P08572,GalHyl-COL4A2(26-1712) [endoplasmic reticulum lumen],1,1
P08572,GalHyl-COL4A2(184-1712) [extracellular region],1,1
P08572,GalHyl-COL4A2(1486-1712) [extracellular region],1,1
P08572,5Hyl-COL4A2(?-1712) [extracellular region],1,1
P08572,5Hyl-COL4A2(26-?) [extracellular region],1,1
P08572,5Hyl-COL4A2(26-1712) [endoplasmic reticulum lumen],1,1
P08572,5Hyl-COL4A2(184-1712) [extracellular region],1,1
P08572,5Hyl-COL4A2(1486-1712) [extracellular region],1,1
P08572,3x4Hyp-GlcGalHyl-COL4A2(?-1712) [extracellular region],2,2
P08572,3x4Hyp-GlcGalHyl-COL4A2(26-?) [extracellular region],2,2
P08572,3x4Hyp-GlcGalHyl-COL4A2(26-1712) [endoplasmic reticulum lumen],2,2
P08572,3x4Hyp-GlcGalHyl-COL4A2(184-1712) [extracellular region],2,2
P08572,3x4Hyp-GlcGalHyl-COL4A2(1486-1712) [extracellular region],2,2
P08572,3x4Hyp-GalHyl-COL4A2(?-1712) [extracellular region],2,2
P08572,3x4Hyp-GalHyl-COL4A2(26-?) [extracellular region],2,2
P08572,3x4Hyp-GalHyl-COL4A2(26-1712) [endoplasmic reticulum lumen],2,2
P08572,3x4Hyp-GalHyl-COL4A2(184-1712) [extracellular region],2,2
P08572,3x4Hyp-GalHyl-COL4A2(1486-1712) [extracellular region],2,2
P08572,3x4Hyp-COL4A2(?-1712) [extracellular region],1,1
P08572,3x4Hyp-COL4A2(26-?) [extracellular region],1,1
P08572,3x4Hyp-COL4A2(26-1712) [endoplasmic reticulum lumen],1,1
P08572,3x4Hyp-COL4A2(184-1712) [extracellular region],1,1
P08572,3x4Hyp-COL4A2(1486-1712) [extracellular region],1,1
P08572,3x4Hyp-5Hyl-COL4A2(?-1712) [extracellular region],2,2
P08572,3x4Hyp-5Hyl-COL4A2(26-?) [extracellular region],2,2
P08572,3x4Hyp-5Hyl-COL4A2(26-1712) [endoplasmic reticulum lumen],2,2
P08572,3x4Hyp-5Hyl-COL4A2(184-1712) [extracellular region],2,2
P08572,3x4Hyp-5Hyl-COL4A2(1486-1712) [extracellular region],2,2
P08572,3x4Hyp-3Hyp-GlcGalHyl-COL4A2(?-1712) [extracellular region],3,3
P08572,3x4Hyp-3Hyp-GlcGalHyl-COL4A2(26-?) [extracellular region],3,3
P08572,3x4Hyp-3Hyp-GlcGalHyl-COL4A2(26-1712) [endoplasmic reticulum lumen],3,3
P08572,3x4Hyp-3Hyp-GlcGalHyl-COL4A2(184-1712) [extracellular region],3,3
P08572,3x4Hyp-3Hyp-GlcGalHyl-COL4A2(1486-1712) [extracellular region],3,3
P08572,3x4Hyp-3Hyp-GalHyl-COL4A2(26-?) [extracellular region],3,3
P08572,3x4Hyp-3Hyp-GalHyl-COL4A2(26-1712) [endoplasmic reticulum lumen],3,3
P08572,3x4Hyp-3Hyp-GalHyl-COL4A2(184-1712) [extracellular region],6,3
P08572,3x4Hyp-3Hyp-GalHyl-COL4A2(1486-1712) [extracellular region],3,3
P08572,3x4Hyp-3Hyp-COL4A2(?-1712) [extracellular region],2,2
P08572,3x4Hyp-3Hyp-COL4A2(26-?) [extracellular region],2,2
P08572,3x4Hyp-3Hyp-COL4A2(26-1712) [endoplasmic reticulum lumen],2,2
P08572,3x4Hyp-3Hyp-COL4A2(184-1712) [extracellular region],2,2
P08572,3x4Hyp-3Hyp-COL4A2(1486-1712) [extracellular region],2,2
P08572,3x4Hyp-3Hyp-5Hyl-COL4A2(?-1712) [extracellular region],3,3
P08572,3x4Hyp-3Hyp-5Hyl-COL4A2(26-?) [extracellular region],3,3
P08572,3x4Hyp-3Hyp-5Hyl-COL4A2(26-1712) [endoplasmic reticulum lumen],3,3
P08572,3x4Hyp-3Hyp-5Hyl-COL4A2(184-1712) [extracellular region],3,3
P08572,3x4Hyp-3Hyp-5Hyl-COL4A2(1486-1712) [extracellular region],3,3
P08581,"p-Y1349,Y1356-MET [plasma membrane]",2,1
P08581,"p-Y1234,Y1235,Y1356-MET [plasma membrane]",3,1
P08581,"p-Y1234,Y1235,Y1349,Y1356-MET [plasma membrane]",4,1
P08581,"p-Y1003,4Y-MET [plasma membrane]",5,1
P08581,"MonoUb-K,p-Y1234,Y1235,Y1349,Y1356-MET [plasma membrane]",5,2
P08581,"MonoUb-K,p-Y1003,4Y-MET [plasma membrane]",6,2
P08686,CYP21A2 W406* [endoplasmic reticulum membrane],1,1
P08686,CYP21A2 V237E [endoplasmic reticulum membrane],2,2
P08686,CYP21A2 Q318* [endoplasmic reticulum membrane],1,1
P08686,CYP21A2 G292S [endoplasmic reticulum membrane],2,2
P08686,CYP21A2 E380D [endoplasmic reticulum membrane],2,2
P08709,pro-factor VII [Golgi lumen],9,1
P08709,factor VII [Golgi lumen],9,1
P08709,10xCbxE-F7(61-466) [plasma membrane],10,1
P08709,10xCbxE-F7(61-466) [extracellular region],10,1
P08709,10xCbxE-F7(61-212) [plasma membrane],10,1
P08709,10xCbxE-F7(61-212) [extracellular region],10,1
P08709,10xCbxE-F7(21-466) [endoplasmic reticulum lumen],10,1
P08842,OxA-STS [endoplasmic reticulum membrane],1,1
P08842,OxA-STS [endoplasmic reticulum lumen],1,1
P09429,"HC23,45-HMGB1 [extracellular region]",1,1
P09544,N4GlycoAsn-WNT2 [endoplasmic reticulum lumen],1,1
P09544,N4GlycoAsn-PalmS WNT2 [plasma membrane],2,2
P09544,N4GlycoAsn-PalmS WNT2 [extracellular region],2,2
P09544,N4GlycoAsn-PalmS WNT2 [extracellular exosome],2,2
P09544,N4GlycoAsn-PalmS WNT2 [endoplasmic reticulum lumen],2,2
P09544,N4GlycoAsn-PalmS WNT2 [endocytic vesicle membrane],2,2
P09544,N4GlycoAsn-PalmS WNT2 [Golgi lumen],2,2
P09619,p-12Y-PDGFRB [plasma membrane],12,1
P09619,p-11Y-PDGFRB [plasma membrane],11,1
P09693,"p-Y160,Y171-CD3G [plasma membrane]",2,1
P09848,LCT R1587H [plasma membrane],2,2
P09848,LCT G1363S [plasma membrane],2,2
P09874,"SUMO2,3-K203,K486-PARP1 [nucleoplasm]",2,1
P09874,"SUMO1-K203,K486-PARP1 [nucleoplasm]",2,1
P09874,PAR-PARP1 [nucleoplasm],1,1
P09917,p-S272-ALOX5 [nuclear envelope],1,1
P09917,p-S272-ALOX5 [cytosol],1,1
P0C0L4,dNQ-C4A(757-1446) [extracellular region],1,1
P0C0L4,C4A alpha b [extracellular region],1,1
P0C0L4,C4 alpha [extracellular region],1,1
P0C0L5,dNQ-C4B(757-1446) [extracellular region],1,1
P0C0L5,C4B alpha chain fragment b [extracellular region],1,1
P0C0L5,C4B alpha [extracellular region],1,1
P0C0S5,Me2sR4-H2AFZ [nucleoplasm],1,1
P0C0S8,Ub-HIST1H2AG [nucleoplasm],1,1
P0C0S8,MeR4-HIST1H2AG [nucleoplasm],1,1
P0C0S8,MeR30-HIST1H2AG [nucleoplasm],1,1
P0C0S8,MeR12-HIST1H2AG [nucleoplasm],1,1
P0C0S8,Me2aR4-HIST1H2AG [nucleoplasm],1,1
P0C0S8,Me2aR30-HIST1H2AG [nucleoplasm],1,1
P0C0S8,Me2aR12-HIST1H2AG [nucleoplasm],1,1
P0C0S8,K63polyUb-HIST1H2AG [nucleoplasm],1,1
P0C0S8,Ack6-HIST1H2AG [nucleoplasm],1,1
P0C0S8,Ack-HIST1H2AG [nucleoplasm],1,1
P0C5Y9,Me2sR4-H2AFB1 [nucleoplasm],1,1
P0CG37,N-aspartyl-glycosylphosphatidylinositolethanolamine-CFC1 [plasma membrane],1,1
P0CG47,adenylatedG76-UBB(1-76) [nucleoplasm],1,1
P0CG47,adenylatedG76-UBB(1-76) [cytosol],1,1
P0CG47,adenylatedG228-UBB(153-228) [nucleoplasm],1,1
P0CG47,adenylatedG228-UBB(153-228) [cytosol],1,1
P0CG47,adenylatedG152-UBB(77-152) [nucleoplasm],1,1
P0CG47,adenylatedG152-UBB(77-152) [cytosol],1,1
P0CG47,Ub-87-UBB(77-152) [nucleoplasm],1,1
P0CG47,Ub-87-UBB(77-152) [mitochondrial outer membrane],1,1
P0CG47,Ub-87-UBB(77-152) [cytosol],1,1
P0CG47,Ub-82-UBB(77-152) [nucleoplasm],1,1
P0CG47,Ub-82-UBB(77-152) [mitochondrial outer membrane],1,1
P0CG47,Ub-82-UBB(77-152) [cytosol],1,1
P0CG47,Ub-63-UBB(1-76) [plasma membrane],1,1
P0CG47,Ub-63-UBB(1-76) [nucleoplasm],2,1
P0CG47,Ub-63-UBB(1-76) [mitochondrial outer membrane],1,1
P0CG47,Ub-63-UBB(1-76) [endosome membrane],1,1
P0CG47,Ub-63-UBB(1-76) [cytosol],1,1
P0CG47,Ub-6-UBB(1-76) [nucleoplasm],1,1
P0CG47,Ub-6-UBB(1-76) [mitochondrial outer membrane],1,1
P0CG47,Ub-6-UBB(1-76) [cytosol],1,1
P0CG47,Ub-48-UBB(1-76) [nucleoplasm],2,1
P0CG47,Ub-48-UBB(1-76) [mitochondrial outer membrane],1,1
P0CG47,Ub-48-UBB(1-76) [cytosol],1,1
P0CG47,Ub-33-UBB(1-76) [nucleoplasm],1,1
P0CG47,Ub-33-UBB(1-76) [mitochondrial outer membrane],1,1
P0CG47,Ub-33-UBB(1-76) [cytosol],1,1
P0CG47,Ub-29-UBB(1-76) [nucleoplasm],1,1
P0CG47,Ub-29-UBB(1-76) [mitochondrial outer membrane],1,1
P0CG47,Ub-29-UBB(1-76) [cytosol],1,1
P0CG47,Ub-27-UBB(1-76) [nucleoplasm],1,1
P0CG47,Ub-27-UBB(1-76) [mitochondrial outer membrane],1,1
P0CG47,Ub-27-UBB(1-76) [cytosol],1,1
P0CG47,Ub-215-UBB(153-228) [plasma membrane],1,1
P0CG47,Ub-215-UBB(153-228) [nucleoplasm],2,1
P0CG47,Ub-215-UBB(153-228) [mitochondrial outer membrane],1,1
P0CG47,Ub-215-UBB(153-228) [endosome membrane],1,1
P0CG47,Ub-215-UBB(153-228) [cytosol],1,1
P0CG47,Ub-200-UBB(153-228) [nucleoplasm],2,1
P0CG47,Ub-200-UBB(153-228) [mitochondrial outer membrane],1,1
P0CG47,Ub-200-UBB(153-228) [cytosol],1,1
P0CG47,Ub-186-UBB(153-228) [nucleoplasm],1,1
P0CG47,Ub-186-UBB(153-228) [mitochondrial outer membrane],1,1
P0CG47,Ub-186-UBB(153-228) [cytosol],1,1
P0CG47,Ub-182-UBB(153-228) [nucleoplasm],1,1
P0CG47,Ub-182-UBB(153-228) [mitochondrial outer membrane],1,1
P0CG47,Ub-182-UBB(153-228) [cytosol],1,1
P0CG47,Ub-180-UBB(153-228) [nucleoplasm],1,1
P0CG47,Ub-180-UBB(153-228) [mitochondrial outer membrane],1,1
P0CG47,Ub-180-UBB(153-228) [cytosol],1,1
P0CG47,Ub-163-UBB(153-228) [nucleoplasm],1,1
P0CG47,Ub-163-UBB(153-228) [mitochondrial outer membrane],1,1
P0CG47,Ub-163-UBB(153-228) [cytosol],1,1
P0CG47,Ub-158-UBB(153-228) [nucleoplasm],1,1
P0CG47,Ub-158-UBB(153-228) [mitochondrial outer membrane],1,1
P0CG47,Ub-158-UBB(153-228) [cytosol],1,1
P0CG47,Ub-139-UBB(77-152) [plasma membrane],1,1
P0CG47,Ub-139-UBB(77-152) [nucleoplasm],2,1
P0CG47,Ub-139-UBB(77-152) [mitochondrial outer membrane],1,1
P0CG47,Ub-139-UBB(77-152) [endosome membrane],1,1
P0CG47,Ub-139-UBB(77-152) [cytosol],1,1
P0CG47,Ub-124-UBB(77-152) [nucleoplasm],2,1
P0CG47,Ub-124-UBB(77-152) [mitochondrial outer membrane],1,1
P0CG47,Ub-124-UBB(77-152) [cytosol],1,1
P0CG47,Ub-110-UBB(77-152) [nucleoplasm],1,1
P0CG47,Ub-110-UBB(77-152) [mitochondrial outer membrane],1,1
P0CG47,Ub-110-UBB(77-152) [cytosol],1,1
P0CG47,Ub-11-UBB(1-76) [nucleoplasm],1,1
P0CG47,Ub-11-UBB(1-76) [mitochondrial outer membrane],1,1
P0CG47,Ub-11-UBB(1-76) [cytosol],1,1
P0CG47,Ub-106-UBB(77-152) [nucleoplasm],1,1
P0CG47,Ub-106-UBB(77-152) [mitochondrial outer membrane],1,1
P0CG47,Ub-106-UBB(77-152) [cytosol],1,1
P0CG47,Ub-104-UBB(77-152) [nucleoplasm],1,1
P0CG47,Ub-104-UBB(77-152) [mitochondrial outer membrane],1,1
P0CG47,Ub-104-UBB(77-152) [cytosol],1,1
P0CG47,N6-glycyl-L-lysine-UBB(77-152) [cytosol],1,1
P0CG47,N6-glycyl-L-lysine-UBB(153-228) [cytosol],1,1
P0CG47,N6-glycyl-L-lysine-UBB(1-76) [cytosol],1,1
P0CG48,adenylatedG76-UBC(1-76) [nucleoplasm],1,1
P0CG48,adenylatedG76-UBC(1-76) [cytosol],1,1
P0CG48,adenylatedG684-UBC(609-684) [nucleoplasm],1,1
P0CG48,adenylatedG684-UBC(609-684) [cytosol],1,1
P0CG48,adenylatedG608-UBC(533-608) [nucleoplasm],1,1
P0CG48,adenylatedG608-UBC(533-608) [cytosol],1,1
P0CG48,adenylatedG532-UBC(457-532) [nucleoplasm],1,1
P0CG48,adenylatedG532-UBC(457-532) [cytosol],1,1
P0CG48,adenylatedG456-UBC(381-456) [nucleoplasm],1,1
P0CG48,adenylatedG456-UBC(381-456) [cytosol],1,1
P0CG48,adenylatedG380-UBC(305-380) [nucleoplasm],1,1
P0CG48,adenylatedG380-UBC(305-380) [cytosol],1,1
P0CG48,adenylatedG304-UBC(229-304) [nucleoplasm],1,1
P0CG48,adenylatedG304-UBC(229-304) [cytosol],1,1
P0CG48,adenylatedG228-UBC(153-228) [nucleoplasm],1,1
P0CG48,adenylatedG228-UBC(153-228) [cytosol],1,1
P0CG48,adenylatedG152-UBC(77-152) [nucleoplasm],1,1
P0CG48,adenylatedG152-UBC(77-152) [cytosol],1,1
P0CG48,Ub-87-UBC(77-152) [nucleoplasm],1,1
P0CG48,Ub-87-UBC(77-152) [mitochondrial outer membrane],1,1
P0CG48,Ub-87-UBC(77-152) [cytosol],1,1
P0CG48,Ub-82-UBC(77-152) [nucleoplasm],1,1
P0CG48,Ub-82-UBC(77-152) [mitochondrial outer membrane],1,1
P0CG48,Ub-82-UBC(77-152) [cytosol],1,1
P0CG48,Ub-671-UBC(609-684) [plasma membrane],1,1
P0CG48,Ub-671-UBC(609-684) [nucleoplasm],2,1
P0CG48,Ub-671-UBC(609-684) [mitochondrial outer membrane],1,1
P0CG48,Ub-671-UBC(609-684) [endosome membrane],1,1
P0CG48,Ub-671-UBC(609-684) [cytosol],1,1
P0CG48,Ub-656-UBC(609-684) [nucleoplasm],2,1
P0CG48,Ub-656-UBC(609-684) [mitochondrial outer membrane],1,1
P0CG48,Ub-656-UBC(609-684) [cytosol],1,1
P0CG48,Ub-642-UBC(609-684) [nucleoplasm],1,1
P0CG48,Ub-642-UBC(609-684) [mitochondrial outer membrane],1,1
P0CG48,Ub-642-UBC(609-684) [cytosol],1,1
P0CG48,Ub-638-UBC(609-684) [nucleoplasm],1,1
P0CG48,Ub-638-UBC(609-684) [mitochondrial outer membrane],1,1
P0CG48,Ub-638-UBC(609-684) [cytosol],1,1
P0CG48,Ub-636-UBC(609-684) [nucleoplasm],1,1
P0CG48,Ub-636-UBC(609-684) [mitochondrial outer membrane],1,1
P0CG48,Ub-636-UBC(609-684) [cytosol],1,1
P0CG48,Ub-63-UBC(1-76) [plasma membrane],1,1
P0CG48,Ub-63-UBC(1-76) [nucleoplasm],2,1
P0CG48,Ub-63-UBC(1-76) [mitochondrial outer membrane],1,1
P0CG48,Ub-63-UBC(1-76) [endosome membrane],1,1
P0CG48,Ub-63-UBC(1-76) [cytosol],1,1
P0CG48,Ub-619-UBC(609-684) [nucleoplasm],1,1
P0CG48,Ub-619-UBC(609-684) [mitochondrial outer membrane],1,1
P0CG48,Ub-619-UBC(609-684) [cytosol],1,1
P0CG48,Ub-614-UBC(609-684) [nucleoplasm],1,1
P0CG48,Ub-614-UBC(609-684) [mitochondrial outer membrane],1,1
P0CG48,Ub-614-UBC(609-684) [cytosol],1,1
P0CG48,Ub-6-UBC(1-76) [nucleoplasm],1,1
P0CG48,Ub-6-UBC(1-76) [mitochondrial outer membrane],1,1
P0CG48,Ub-6-UBC(1-76) [cytosol],1,1
P0CG48,Ub-595-UBC(533-608) [plasma membrane],1,1
P0CG48,Ub-595-UBC(533-608) [nucleoplasm],2,1
P0CG48,Ub-595-UBC(533-608) [mitochondrial outer membrane],1,1
P0CG48,Ub-595-UBC(533-608) [endosome membrane],1,1
P0CG48,Ub-595-UBC(533-608) [cytosol],1,1
P0CG48,Ub-580-UBC(533-608) [nucleoplasm],2,1
P0CG48,Ub-580-UBC(533-608) [mitochondrial outer membrane],1,1
P0CG48,Ub-580-UBC(533-608) [cytosol],1,1
P0CG48,Ub-566-UBC(533-608) [nucleoplasm],1,1
P0CG48,Ub-566-UBC(533-608) [mitochondrial outer membrane],1,1
P0CG48,Ub-566-UBC(533-608) [cytosol],1,1
P0CG48,Ub-562-UBC(533-608) [nucleoplasm],1,1
P0CG48,Ub-562-UBC(533-608) [mitochondrial outer membrane],1,1
P0CG48,Ub-562-UBC(533-608) [cytosol],1,1
P0CG48,Ub-560-UBC(533-608) [nucleoplasm],1,1
P0CG48,Ub-560-UBC(533-608) [mitochondrial outer membrane],1,1
P0CG48,Ub-560-UBC(533-608) [cytosol],1,1
P0CG48,Ub-543-UBC(533-608) [nucleoplasm],1,1
P0CG48,Ub-543-UBC(533-608) [mitochondrial outer membrane],1,1
P0CG48,Ub-543-UBC(533-608) [cytosol],1,1
P0CG48,Ub-538-UBC(533-608) [nucleoplasm],1,1
P0CG48,Ub-538-UBC(533-608) [mitochondrial outer membrane],1,1
P0CG48,Ub-538-UBC(533-608) [cytosol],1,1
P0CG48,Ub-519-UBC(457-532) [plasma membrane],1,1
P0CG48,Ub-519-UBC(457-532) [nucleoplasm],2,1
P0CG48,Ub-519-UBC(457-532) [mitochondrial outer membrane],1,1
P0CG48,Ub-519-UBC(457-532) [endosome membrane],1,1
P0CG48,Ub-519-UBC(457-532) [cytosol],1,1
P0CG48,Ub-504-UBC(457-532) [nucleoplasm],2,1
P0CG48,Ub-504-UBC(457-532) [mitochondrial outer membrane],1,1
P0CG48,Ub-504-UBC(457-532) [cytosol],1,1
P0CG48,Ub-488-UBC(457-532) [nucleoplasm],1,1
P0CG48,Ub-488-UBC(457-532) [mitochondrial outer membrane],1,1
P0CG48,Ub-488-UBC(457-532) [cytosol],1,1
P0CG48,Ub-486-UBC(457-532) [nucleoplasm],1,1
